City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,El Alto,PE,-4.2714,-81.2147,70.36,83,100,5.12,overcast clouds
326,Fuxin,CN,42.0156,121.6589,22.01,37,0,10.89,clear sky
327,Guerrero Negro,MX,27.9769,-114.0611,65.1,41,6,1.05,clear sky
328,Southampton,GB,50.904,-1.4043,52.65,96,58,4.0,broken clouds
329,Bukama,CD,-9.2,25.85,67.05,99,99,0.78,light rain
330,Azare,NG,11.6765,10.1948,57.67,24,3,9.35,clear sky
331,Pecos,US,31.4229,-103.4932,42.3,40,0,5.75,clear sky
332,Port Hawkesbury,CA,45.6169,-61.3485,35.19,92,100,4.0,overcast clouds
333,Alofi,NU,-19.0595,-169.9187,75.09,94,70,6.91,broken clouds
334,Priladozhskiy,RU,59.85,31.4833,24.46,96,100,7.78,light snow
335,Voh,NC,-20.9667,164.7,87.12,62,98,9.95,overcast clouds
336,Havelock,US,34.8791,-76.9013,41.23,80,100,1.99,overcast clouds
337,Rabaul,PG,-4.1967,152.1721,84.34,71,98,12.33,light rain
338,Yinchuan,CN,38.4681,106.2731,28.31,38,5,3.09,clear sky
339,Anori,BR,-3.7728,-61.6442,73.4,99,100,2.08,overcast clouds
340,Denpasar,ID,-8.65,115.2167,87.46,74,20,11.5,few clouds
341,Puerto Rondon,CO,6.2805,-71.1,79.32,41,50,5.06,scattered clouds
342,Khani,GE,41.9563,42.9566,18.97,76,13,8.23,few clouds
343,Dzilam Gonzalez,MX,21.2833,-88.9333,70.0,70,86,14.5,overcast clouds
